"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"19/03/14","13","15","19","26","30","42","1","40"
"12/03/14","4","9","12","15","22","33","10","16"
"05/03/14","8","22","23","25","26","35","6","39"
"26/02/14","3","4","11","12","19","44","40","45"
"19/02/14","4","9","14","18","39","42","15","27"
"12/02/14","8","14","28","34","36","44","13","23"
"05/02/14","4","28","30","41","43","45","13","23"
"29/01/14","4","6","8","18","32","42","13","36"
"22/01/14","3","11","22","26","42","44","19","21"
"15/01/14","2","15","16","20","24","30","9","44"
"08/01/14","4","5","15","19","21","29","6","9"
"01/01/14","3","4","14","24","29","45","11","16"
"25/12/13","21","25","30","33","35","44","22","40"
"18/12/13","2","4","26","30","36","38","24","43"
"11/12/13","10","12","15","22","23","33","4","21"
"04/12/13","3","6","17","35","42","45","12","34"
"27/11/13","14","15","25","26","29","35","2","23"
"20/11/13","3","23","34","38","40","41","18","20"
"13/11/13","13","26","28","33","38","44","14","36"
"06/11/13","1","20","31","33","34","42","24","38"
"30/10/13","4","9","14","37","38","45","17","31"
"23/10/13","3","9","16","26","27","42","39","43"
"16/10/13","2","13","32","37","38","42","27","31"
"09/10/13","10","16","22","28","31","34","37","44"
"02/10/13","9","11","12","30","32","40","16","44"
"25/09/13","18","26","30","32","33","38","5","22"
"18/09/13","11","19","21","41","42","44","37","38"
"11/09/13","1","2","7","11","28","32","35","42"
"04/09/13","2","13","14","20","22","35","12","44"
"28/08/13","11","14","15","32","33","40","31","44"
"21/08/13","8","15","16","24","40","44","3","39"
"14/08/13","11","19","25","32","41","45","8","33"
"07/08/13","7","18","24","28","31","42","19","21"
"31/07/13","4","7","14","18","24","43","31","39"
"24/07/13","7","19","30","33","34","42","8","9"
"17/07/13","3","6","8","16","18","42","21","41"
"10/07/13","8","27","28","29","36","45","21","39"
"03/07/13","3","23","29","32","33","45","25","37"
"26/06/13","2","10","14","35","39","42","18","29"
"19/06/13","1","5","9","18","22","30","28","38"
"12/06/13","5","7","8","13","22","31","43","45"
"05/06/13","2","19","35","40","42","44","4","12"
"29/05/13","2","5","24","30","38","40","6","21"
"22/05/13","9","11","15","21","24","29","10","44"
"15/05/13","8","18","20","22","26","30","1","4"
"08/05/13","5","19","26","28","36","37","1","6"
"01/05/13","3","7","20","23","39","43","19","36"
"24/04/13","7","13","18","39","44","45","1","43"
"17/04/13","4","10","19","31","34","38","20","45"
"10/04/13","10","14","26","31","35","44","21","37"
"03/04/13","13","17","19","28","36","39","27","35"
"27/03/13","2","5","14","18","34","41","33","42"
"20/03/13","8","13","15","27","39","40","10","31"
"13/03/13","1","3","19","21","22","38","14","28"
"06/03/13","9","13","16","19","33","42","17","22"
"27/02/13","3","8","20","26","41","45","15","23"
"20/02/13","3","10","13","22","23","29","19","26"
"13/02/13","2","18","33","37","39","40","15","42"
"06/02/13","4","5","16","40","42","45","7","39"
"30/01/13","5","10","15","28","31","39","11","44"
"23/01/13","8","31","32","33","37","44","9","17"
"16/01/13","3","4","11","33","36","45","15","37"
"09/01/13","11","17","33","36","41","42","6","13"
"02/01/13","10","21","24","36","37","43","31","45"
"26/12/12","7","16","19","31","39","43","18","20"
"19/12/12","9","12","16","18","29","36","38","42"
"12/12/12","3","15","24","32","37","45","1","27"
"05/12/12","1","10","19","24","31","32","23","41"
"28/11/12","12","14","16","19","26","37","4","31"
"21/11/12","6","7","12","19","26","30","8","14"
"14/11/12","5","10","25","27","32","44","30","31"
"07/11/12","5","14","16","23","26","30","36","45"
"31/10/12","3","4","15","22","30","37","1","16"
"24/10/12","2","8","20","23","28","29","5","11"
"17/10/12","14","20","21","36","37","42","7","16"
"10/10/12","3","7","9","36","42","45","18","29"
"03/10/12","16","25","28","29","30","43","3","4"
"26/09/12","2","5","22","32","37","45","23","38"
"19/09/12","3","7","13","19","25","35","24","37"
"12/09/12","22","29","33","37","41","44","15","45"
"05/09/12","7","16","22","30","35","37","12","27"
"29/08/12","6","20","28","30","39","40","9","45"
"22/08/12","7","21","22","33","41","43","38","40"
"15/08/12","2","16","17","21","33","37","6","42"
"08/08/12","6","7","14","18","20","41","17","37"
"01/08/12","2","17","18","24","34","37","5","28"
"25/07/12","4","7","19","34","38","43","28","36"
"18/07/12","5","7","18","20","37","38","17","35"
"11/07/12","4","6","15","20","41","44","30","38"
"04/07/12","6","8","13","22","35","40","14","45"
"27/06/12","15","29","30","32","35","44","34","39"
"20/06/12","10","24","30","32","38","41","27","37"
"13/06/12","6","8","20","24","27","36","14","40"
"06/06/12","9","23","24","32","36","41","22","45"
"30/05/12","7","13","16","18","22","39","31","36"
"23/05/12","8","11","18","27","40","44","26","35"
"16/05/12","15","21","23","24","31","32","33","34"
"09/05/12","3","16","19","25","38","44","29","42"
"02/05/12","12","27","36","37","38","41","15","28"
"25/04/12","6","27","34","37","40","45","10","23"
"18/04/12","5","10","12","17","40","42","13","14"
"11/04/12","10","29","32","39","40","42","1","43"
"04/04/12","1","23","32","35","40","43","7","16"
"28/03/12","5","11","13","30","42","44","31","37"
"21/03/12","16","24","27","30","36","44","5","13"
"14/03/12","5","12","30","33","38","40","3","27"
"07/03/12","4","10","30","38","41","43","23","36"
"29/02/12","3","5","14","16","37","39","20","26"
"22/02/12","2","3","16","17","43","44","4","24"
"15/02/12","5","8","11","29","33","40","19","21"
"08/02/12","9","27","30","36","39","44","1","43"
"01/02/12","1","9","30","35","37","43","33","38"
"25/01/12","13","14","15","22","26","33","6","31"
"18/01/12","1","13","19","25","32","37","6","9"
"11/01/12","3","7","30","36","41","42","11","26"
"04/01/12","5","9","11","28","29","31","14","26"
"28/12/11","3","7","13","24","39","41","27","43"
"21/12/11","5","9","10","32","35","36","2","23"
"14/12/11","12","18","30","31","34","44","1","26"
"07/12/11","7","13","17","19","37","41","5","31"
"30/11/11","6","12","30","32","35","41","9","24"
"23/11/11","1","27","29","30","32","39","15","23"
"16/11/11","7","10","11","12","20","26","4","17"
"09/11/11","17","22","27","34","36","37","25","43"
"02/11/11","5","11","39","41","43","44","18","40"
"26/10/11","1","2","7","14","23","24","10","12"
"19/10/11","4","7","8","9","11","33","1","34"
"12/10/11","14","15","22","23","32","35","25","30"
"05/10/11","4","8","23","31","39","41","3","10"
"28/09/11","11","29","31","35","44","45","16","17"
"21/09/11","5","10","30","36","38","44","15","17"
"14/09/11","11","12","15","16","27","30","20","23"
"07/09/11","5","10","18","31","32","37","8","19"
"31/08/11","3","5","8","12","13","31","23","34"
"24/08/11","10","18","23","25","33","39","12","36"
"17/08/11","4","11","27","28","29","43","35","40"
"10/08/11","6","7","14","18","37","39","30","35"
"03/08/11","3","7","11","20","21","42","15","24"
"27/07/11","1","2","20","29","36","38","26","30"
"20/07/11","1","3","10","11","26","42","8","9"
"13/07/11","2","11","14","19","30","41","8","12"
"06/07/11","1","10","11","15","27","32","4","21"
"29/06/11","5","12","18","19","42","44","24","39"
"22/06/11","2","21","29","33","36","40","4","13"
"15/06/11","7","9","16","21","33","40","22","35"
"08/06/11","8","10","12","15","24","27","5","36"
"01/06/11","5","11","14","29","32","44","6","8"
"25/05/11","11","15","18","22","28","38","6","39"
"18/05/11","1","6","25","26","27","40","12","42"
"11/05/11","7","14","18","27","39","44","19","33"
"04/05/11","1","6","12","35","40","42","5","18"
"27/04/11","5","12","35","36","40","45","26","29"
"20/04/11","2","7","13","14","20","31","24","35"
"13/04/11","7","16","20","23","25","40","1","36"
"06/04/11","3","5","15","21","29","40","9","39"
"30/03/11","12","21","22","35","43","45","6","7"
"23/03/11","6","8","14","17","23","43","10","11"
"16/03/11","1","6","10","11","32","36","9","27"
"09/03/11","7","10","12","21","38","39","30","33"
"02/03/11","2","6","27","32","43","45","9","14"
"23/02/11","4","23","25","38","40","42","1","16"
